hidden_size: 100, learning_rate: 1.000000e-01, reg: 1.000000e-03, validation accuracy: 0.976000
hidden_size: 100, learning_rate: 1.000000e-01, reg: 5.000000e-03, validation accuracy: 0.955000
hidden_size: 100, learning_rate: 1.000000e-01, reg: 1.000000e-04, validation accuracy: 0.978250
hidden_size: 100, learning_rate: 1.000000e-01, reg: 5.000000e-04, validation accuracy: 0.977917
hidden_size: 100, learning_rate: 1.000000e-01, reg: 1.000000e-05, validation accuracy: 0.978083
hidden_size: 100, learning_rate: 1.000000e-01, reg: 5.000000e-05, validation accuracy: 0.978167
hidden_size: 100, learning_rate: 5.000000e-01, reg: 1.000000e-03, validation accuracy: 0.970667
hidden_size: 100, learning_rate: 5.000000e-01, reg: 5.000000e-03, validation accuracy: 0.954250
hidden_size: 100, learning_rate: 5.000000e-01, reg: 1.000000e-04, validation accuracy: 0.979833
hidden_size: 100, learning_rate: 5.000000e-01, reg: 5.000000e-04, validation accuracy: 0.975917
hidden_size: 100, learning_rate: 5.000000e-01, reg: 1.000000e-05, validation accuracy: 0.980417
hidden_size: 100, learning_rate: 5.000000e-01, reg: 5.000000e-05, validation accuracy: 0.978000
hidden_size: 100, learning_rate: 1.000000e-02, reg: 1.000000e-03, validation accuracy: 0.966833
hidden_size: 100, learning_rate: 1.000000e-02, reg: 5.000000e-03, validation accuracy: 0.950167
hidden_size: 100, learning_rate: 1.000000e-02, reg: 1.000000e-04, validation accuracy: 0.969917
hidden_size: 100, learning_rate: 1.000000e-02, reg: 5.000000e-04, validation accuracy: 0.969333
hidden_size: 100, learning_rate: 1.000000e-02, reg: 1.000000e-05, validation accuracy: 0.970833
hidden_size: 100, learning_rate: 1.000000e-02, reg: 5.000000e-05, validation accuracy: 0.970750
hidden_size: 100, learning_rate: 5.000000e-02, reg: 1.000000e-03, validation accuracy: 0.975583
hidden_size: 100, learning_rate: 5.000000e-02, reg: 5.000000e-03, validation accuracy: 0.957000
hidden_size: 100, learning_rate: 5.000000e-02, reg: 1.000000e-04, validation accuracy: 0.977083
hidden_size: 100, learning_rate: 5.000000e-02, reg: 5.000000e-04, validation accuracy: 0.976583
hidden_size: 100, learning_rate: 5.000000e-02, reg: 1.000000e-05, validation accuracy: 0.977250
hidden_size: 100, learning_rate: 5.000000e-02, reg: 5.000000e-05, validation accuracy: 0.976333
hidden_size: 100, learning_rate: 1.000000e-03, reg: 1.000000e-03, validation accuracy: 0.925917
hidden_size: 100, learning_rate: 1.000000e-03, reg: 5.000000e-03, validation accuracy: 0.921250
hidden_size: 100, learning_rate: 1.000000e-03, reg: 1.000000e-04, validation accuracy: 0.924167
hidden_size: 100, learning_rate: 1.000000e-03, reg: 5.000000e-04, validation accuracy: 0.923417
hidden_size: 100, learning_rate: 1.000000e-03, reg: 1.000000e-05, validation accuracy: 0.920667
hidden_size: 100, learning_rate: 1.000000e-03, reg: 5.000000e-05, validation accuracy: 0.924750
hidden_size: 100, learning_rate: 5.000000e-03, reg: 1.000000e-03, validation accuracy: 0.958917
hidden_size: 100, learning_rate: 5.000000e-03, reg: 5.000000e-03, validation accuracy: 0.944833
hidden_size: 100, learning_rate: 5.000000e-03, reg: 1.000000e-04, validation accuracy: 0.960083
hidden_size: 100, learning_rate: 5.000000e-03, reg: 5.000000e-04, validation accuracy: 0.960333
hidden_size: 100, learning_rate: 5.000000e-03, reg: 1.000000e-05, validation accuracy: 0.960500
hidden_size: 100, learning_rate: 5.000000e-03, reg: 5.000000e-05, validation accuracy: 0.962333
hidden_size: 200, learning_rate: 1.000000e-01, reg: 1.000000e-03, validation accuracy: 0.976333
hidden_size: 200, learning_rate: 1.000000e-01, reg: 5.000000e-03, validation accuracy: 0.955500
hidden_size: 200, learning_rate: 1.000000e-01, reg: 1.000000e-04, validation accuracy: 0.979667
hidden_size: 200, learning_rate: 1.000000e-01, reg: 5.000000e-04, validation accuracy: 0.979417
hidden_size: 200, learning_rate: 1.000000e-01, reg: 1.000000e-05, validation accuracy: 0.979167
hidden_size: 200, learning_rate: 1.000000e-01, reg: 5.000000e-05, validation accuracy: 0.979083
hidden_size: 200, learning_rate: 5.000000e-01, reg: 1.000000e-03, validation accuracy: 0.970250
hidden_size: 200, learning_rate: 5.000000e-01, reg: 5.000000e-03, validation accuracy: 0.932250
hidden_size: 200, learning_rate: 5.000000e-01, reg: 1.000000e-04, validation accuracy: 0.981167
hidden_size: 200, learning_rate: 5.000000e-01, reg: 5.000000e-04, validation accuracy: 0.979083
hidden_size: 200, learning_rate: 5.000000e-01, reg: 1.000000e-05, validation accuracy: 0.980083
hidden_size: 200, learning_rate: 5.000000e-01, reg: 5.000000e-05, validation accuracy: 0.981083
hidden_size: 200, learning_rate: 1.000000e-02, reg: 1.000000e-03, validation accuracy: 0.970417
hidden_size: 200, learning_rate: 1.000000e-02, reg: 5.000000e-03, validation accuracy: 0.954083
hidden_size: 200, learning_rate: 1.000000e-02, reg: 1.000000e-04, validation accuracy: 0.972750
hidden_size: 200, learning_rate: 1.000000e-02, reg: 5.000000e-04, validation accuracy: 0.972083
hidden_size: 200, learning_rate: 1.000000e-02, reg: 1.000000e-05, validation accuracy: 0.972750
hidden_size: 200, learning_rate: 1.000000e-02, reg: 5.000000e-05, validation accuracy: 0.973333
hidden_size: 200, learning_rate: 5.000000e-02, reg: 1.000000e-03, validation accuracy: 0.977333
hidden_size: 200, learning_rate: 5.000000e-02, reg: 5.000000e-03, validation accuracy: 0.956417
hidden_size: 200, learning_rate: 5.000000e-02, reg: 1.000000e-04, validation accuracy: 0.979500
hidden_size: 200, learning_rate: 5.000000e-02, reg: 5.000000e-04, validation accuracy: 0.978500
hidden_size: 200, learning_rate: 5.000000e-02, reg: 1.000000e-05, validation accuracy: 0.978583
hidden_size: 200, learning_rate: 5.000000e-02, reg: 5.000000e-05, validation accuracy: 0.979167
hidden_size: 200, learning_rate: 1.000000e-03, reg: 1.000000e-03, validation accuracy: 0.926667
hidden_size: 200, learning_rate: 1.000000e-03, reg: 5.000000e-03, validation accuracy: 0.921833
hidden_size: 200, learning_rate: 1.000000e-03, reg: 1.000000e-04, validation accuracy: 0.926417
hidden_size: 200, learning_rate: 1.000000e-03, reg: 5.000000e-04, validation accuracy: 0.927667
hidden_size: 200, learning_rate: 1.000000e-03, reg: 1.000000e-05, validation accuracy: 0.925583
hidden_size: 200, learning_rate: 1.000000e-03, reg: 5.000000e-05, validation accuracy: 0.927667
hidden_size: 200, learning_rate: 5.000000e-03, reg: 1.000000e-03, validation accuracy: 0.961250
hidden_size: 200, learning_rate: 5.000000e-03, reg: 5.000000e-03, validation accuracy: 0.947000
hidden_size: 200, learning_rate: 5.000000e-03, reg: 1.000000e-04, validation accuracy: 0.961000
hidden_size: 200, learning_rate: 5.000000e-03, reg: 5.000000e-04, validation accuracy: 0.962167
hidden_size: 200, learning_rate: 5.000000e-03, reg: 1.000000e-05, validation accuracy: 0.964000
hidden_size: 200, learning_rate: 5.000000e-03, reg: 5.000000e-05, validation accuracy: 0.963583
hidden_size: 300, learning_rate: 1.000000e-01, reg: 1.000000e-03, validation accuracy: 0.976583
hidden_size: 300, learning_rate: 1.000000e-01, reg: 5.000000e-03, validation accuracy: 0.955083
hidden_size: 300, learning_rate: 1.000000e-01, reg: 1.000000e-04, validation accuracy: 0.980750
hidden_size: 300, learning_rate: 1.000000e-01, reg: 5.000000e-04, validation accuracy: 0.979667
hidden_size: 300, learning_rate: 1.000000e-01, reg: 1.000000e-05, validation accuracy: 0.980083
hidden_size: 300, learning_rate: 1.000000e-01, reg: 5.000000e-05, validation accuracy: 0.980750
hidden_size: 300, learning_rate: 5.000000e-01, reg: 1.000000e-03, validation accuracy: 0.974750
hidden_size: 300, learning_rate: 5.000000e-01, reg: 5.000000e-03, validation accuracy: 0.953750
hidden_size: 300, learning_rate: 5.000000e-01, reg: 1.000000e-04, validation accuracy: 0.981250
hidden_size: 300, learning_rate: 5.000000e-01, reg: 5.000000e-04, validation accuracy: 0.978083
hidden_size: 300, learning_rate: 5.000000e-01, reg: 1.000000e-05, validation accuracy: 0.982083
hidden_size: 300, learning_rate: 5.000000e-01, reg: 5.000000e-05, validation accuracy: 0.982167
hidden_size: 300, learning_rate: 1.000000e-02, reg: 1.000000e-03, validation accuracy: 0.971500
hidden_size: 300, learning_rate: 1.000000e-02, reg: 5.000000e-03, validation accuracy: 0.954167
hidden_size: 300, learning_rate: 1.000000e-02, reg: 1.000000e-04, validation accuracy: 0.974667
hidden_size: 300, learning_rate: 1.000000e-02, reg: 5.000000e-04, validation accuracy: 0.973250
hidden_size: 300, learning_rate: 1.000000e-02, reg: 1.000000e-05, validation accuracy: 0.973833
